兵种	威望	力量	敏捷	技巧	斗意	体魄	战吼	跑速度	走速度	缩放	攻击范围	攻击间隔	动画名称	动画朝向（0右1左）	动画文件	小弟
id	prestige	power	agility	skill	fightvalue	physique	battlecry	speed_run	speed_walk	scale	range	attack_interval	anim_name	anim_direction	anim_file	soldier
1001	99	15	5	10	10	15	5	200	80	0.35	1	0.8	zhujv_jiaopi	1	animation/zhujv_jiaopi/zhujv_jiaopi.ExportJson	0
1002	99	5	15	20	10	5	5	200	80	0.32	1	0.8	zhujv_baopi	1	animation/zhujv_baopi/zhujv_baopi.ExportJson	0
1003	99	15	10	20	5	5	5	200	80	0.35	1	0.8	zhujv_chenhaonan	1	animation/zhujv_chenhaonan/zhujv_chenhaonan.ExportJson	0
1004	99	20	5	5	5	20	5	200	80	0.35	1	0.8	zhujv_wuya_zhandou	1	animation/zhujv_wuya/zhujv_wuya_zhandou.ExportJson	0
1005	99	10	10	10	10	10	10	200	80	0.35	1	0.8	zhujv_datian	1	animation/zhujv_datian/zhujv_datian.ExportJson	0
1011	5	5	5	5	5	5	5	200	80	0.35	1	0.8	zhujv_jiaopi	1	animation/zhujv_jiaopi/zhujv_jiaopi.ExportJson	0
1012	10	10	10	10	10	10	10	200	80	0.32	1	0.8	zhujv_baopi	1	animation/zhujv_baopi/zhujv_baopi.ExportJson	0
1013	5	5	5	10	5	5	5	200	80	0.35	1	0.8	zhujv_chenhaonan	1	animation/zhujv_chenhaonan/zhujv_chenhaonan.ExportJson	0
1014	20	20	20	20	20	20	20	200	80	0.35	1	0.8	zhujv_wuya_zhandou	1	animation/zhujv_wuya/zhujv_wuya_zhandou.ExportJson	0
1015	25	25	25	25	25	25	25	200	80	0.35	1	0.8	zhujv_datian	1	animation/zhujv_datian/zhujv_datian.ExportJson	0
1016	30	30	30	30	30	30	30	200	80	0.35	1	0.8	zhujv_jiaopi	1	animation/zhujv_jiaopi/zhujv_jiaopi.ExportJson	0
1017	35	35	35	35	35	35	35	200	80	0.32	1	0.8	zhujv_baopi	1	animation/zhujv_baopi/zhujv_baopi.ExportJson	0
1018	40	40	40	40	40	40	40	200	80	0.35	1	0.8	zhujv_chenhaonan	1	animation/zhujv_chenhaonan/zhujv_chenhaonan.ExportJson	0
1019	45	45	45	45	45	45	45	200	80	0.35	1	0.8	zhujv_wuya_zhandou	1	animation/zhujv_wuya/zhujv_wuya_zhandou.ExportJson	0
1020	50	50	50	50	50	50	50	200	80	0.35	1	0.8	zhujv_datian	1	animation/zhujv_datian/zhujv_datian.ExportJson	0
1030	0	0	0	0	0	0	0	0	0	0.35	0	0	NPC_dianyuan001	0	animation/npc/npc_dianyuan001/NPC_dianyuan001.ExportJson	0
1031	0	0	0	0	0	0	0	0	0	0.35	0	0	NPC_dianyuan002	0	animation/npc/npc_dianyuan002/NPC_dianyuan002.ExportJson	0
1032	0	0	0	0	0	0	0	0	0	0.35	0	0	NPC_dianyuan003	0	animation/npc/npc_dianyuan003/NPC_dianyuan003.ExportJson	0
1033	0	0	0	0	0	0	0	0	0	0.5	0	0	NPC_xiaohai01	0	animation/npc/npc_xiaohai001/NPC_xiaohai01.ExportJson	0
1034	0	0	0	0	0	0	0	0	0	0.35	0	0	NPC_MSW01	0	animation/npc/npc_xiunv/NPC_MSW01.ExportJson	0
1035	0	0	0	0	0	0	0	0	0	0.35	0	0	NPC_MSN01	0	animation/npc/NPC_MSN01/NPC_MSN01.ExportJson	0
